French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frÃ¨re,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlÃ©,speak
arrivÃ©,come
devrait,should
bÃ©bÃ©,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
Ã©taient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donnÃ©,given
train,train
corps,body
endroit,place
yeux,eyes
faÃ§on,way
Ã©coute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
premiÃ¨re,first
cÃ´tÃ©,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandÃ©,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espÃ¨re,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrÃªter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chÃ©rie,sweetheart
gros,large
plutÃ´t,rather
aura,will have
filles,girls
jouer,to play
bureau,office
mourir,die
hier,yesterday
possible ,possible 
jouer ,play 
demander ,ask 
celui,the one
voulait,wanted
beau ,beautiful 
jeune,young
euh ,uh
dehors,out
docteur,doctor
a-t-il,has he
confiance,confidence
appeler,to call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,daytime
madame,Mrs
hey,hey
téléphone,phone
près,near
affaires,business
meilleur,best
devez,must
dessus,above
mains,hands
penses,think
prie,pray
équipe,team
vas-y,go ahead
grande,large
manger,eat
arriver,arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,walk
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,Exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,well
mariage,marriage
parents,parents
capitaine,captain
dernier,last
fou,mad
ceux,those
tomber,to fall
attendre,to wait for
vue,view
pensé,think
souviens,remember
envie,envy
fête,party
jeu,game
génial,awesome
pays,country
garde,guard
cours,course
bientôt,Soon
ii,ii
numéro,number
personnes,people
cinq,five
parfait,Perfect
excusez-moi,excuse me
laissé,leave alone
ainsi,Thus
retour,back
semble,seems
autant,as much
peine,penalty
minute,minute
essayé,try
plan,plan
instant,instant
serai,will be
prison,prison
penser,think
essayer,try
prend,takes
arme,armed
mauvais,bad
mot,word
travailler,to work
quatre,four
rentrer,to return
regarder,look
choix,choice
êtes-vous,are you
parfois,Sometimes
film,film
abord,on board
voyez,see
faute,mistake
facile,easy
croyais,believed
bas,down
changer,change
entendre,hear
plaisir,pleasure
heureux,happy
entrer,enter
voudrais,would like
es-tu,are you
propre,own
étiez,were
tour,round
fera,will do
ensuite,Next
garder,keep
agent,agent
allait,was going
lit,bed
travaille,work
adore,love
amie,friend
rendre,give back
allons-y,let's go
route,road
lieu,place
année,year
voit,sees
commence,begin
service,service
devoir,duty
attend,wait
drôle,funny
difficile,difficult
sûre,safe
pire,worse 
pos,pos
peuvent,can
sujet,subject
état,state
ceci,this
impossible,impossible
sorte,sort
perdre,lose
dollars,dollars
voulu,wanted
morte,dead
ira,will go
faisait,was doing
bizarre,weird
oublié,forget
arrêtez,stop
ferai,will do
serais,would be
tôt,early
inquiète,worried
payer,pay
coeur,heart
dès,of the
pouvais,could
reviens,come back
chien,dog
suffit,enough
prenez,take
pensez,think
café,coffee
calme,calm
cherche,look for
montrer,to show
parles,speak
photo,photo
ferme,farm
problèmes,problems
the,tea
cœur,heart
sûrement,certainly
verre,glass
aimes,likes
devons,we must
veulent,want
doute,doubt
musique,music
courant,fluent
sauf,except
moyen,AVERAGE
nouvelles,news
puis-je,can i
avis,notice
sauver,save
hôpital,hospital
questions,questions
meurtre,murder
sérieux,serious
seconde,second
trucs,stuff
comprendre,to understand
allais,was going
esprit,spirit
cool,cool
mlle,Miss
marché,walk
fous,crazy
laisse-moi,leave me
haut,high
salle,room
malade,sick
changé,exchange
gentil,kind
allé,went
six,six
simple,simple
john,John
semaines,weeks
celle,that one
jack,jack
appris,learned
seigneur,lord
dîner,dinner
sors,go out
commencé,started
suppose,assumed
chemin,path
partout,everywhere
bras,arm
cul,ass
prochaine,next
visage,face
h,h
meilleure,best
face,face
soirée,evening
roi,king
surtout,Above all
retard,delay
écrit,writing
livre,book
rapport,report
chéri,Dear
message,message
voulez-vous,do you want
vaut,worth
ferais,would do
morts,dead
boire,drink
soyez,be
président,president
plait,please
bois,drink
sinon,Otherwise
erreur,error
new,new
ecoute,listen
mr,mr
rentre,go home
rendez-vous,appointment
devait,had to
revenir,to come back
joue,plays
pauvre,poor
devenir,become
s,s
rencontrer,meet
sort,spell
commencer,to start
pouvait,could
occupe,busy
entends,hear
souvent,often
pièce,piece
reçu,received
grave,severe
mets,dishes
intérieur,interior
honneur,honor
dormir,sleep
an,year
faux,fake
messieurs,gentlemen
groupe,band
rêve,dream
carte,map 
aviez,had
appel,call
manque,lack
envoyé,sent
début,beginning
sam,sat
puisse,may
écoutez,listen
laissez-moi,let me
bonsoir,Good evening
content,thrilled
secret,secret
venue,coming
cher,Dear
dis-moi,Tell me
effet,effect
voyons,let's see
sac,bag
continue,continue
acheter,buy
voix,voice
certains,some
occuper,occupy
noël,Christmas
gagner,win
grâce,grace
maître,master
prix,price
mauvaise,bad
général,general
âge,age
long,long
rue,Street
tirer,shoot
apprendre,learn
cheveux,hair
noir,black
promis,promised
avaient,had
patron,boss
avocat,lawyer
force,strength
accident,accident
dix,ten
probablement,probably
laissez,leave
bout,end 
ordre,order
armes,weapons
cru,believed
déteste,hated
retrouver,find
millions,millions
incroyable,amazing
voyage,journey
ailleurs,elsewhere
oublie,forget
ressemble,looks like
bienvenue,Welcome
disparu,disappeared
protéger,protect
utiliser,to use
situation,situation
petits,small
aurai,will have
veux-tu,do you want
connaissez,know
simplement,simply
scène,scene
sœur,sister
prête,ready
oncle,uncle
devriez,should
liste,list
soeur,sister
complètement,completely
dos,back
armée,army
paix,peace
battre,beat
york,York
crime,crime
anniversaire,birthday
finir,finish
réussi,successful
agit,acts
i,i
retourner,return
sale,dirty
libre,free
bouge,move
contrôle,control
rappelle,remember
arrêté,arrested
hôtel,hotel
idiot,silly
okay,okay
rencontré,met
restez,stay
absolument,absolutely
mots,words
victime,victim
impression,impression
décidé,decided
sympa,nice
pars,leave
fasse,do
avion,plane
bordel,mess
habitude,habit
table,table
rouge,red
système,system
photos,photos
médecin,doctor
seras,will be
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,bottom
surprise,surprise
croyez,believe
devais,had to
ligne,line
porter,to wear
imagine,imagine
colère,anger
clair,clear
seront,will be
savait,knew
balle,ball
gagné,won
or,gold
hors,out
magnifique,Magnificent
risque,risk
terminé,finished
su,su
heureuse,happy
mission,assignment
jolie,pretty
parlez,speak
présent,present
sorti,released
cadeau,gift
expliquer,explain
volé,stolen
plusieurs,several
gauche,LEFT
ferait,would do
neuf,nine
passe-t-il,is it happening
ouvre,opens
disais,said
dedans,inside
disent,say
pouvons,we can
allez-y,Go for it
suivre,follow
pourra,will be able to
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,pal
montre,watch
pied,foot
marcher,to walk
charlie,Charlie
auras,auras
envoyer,send
vraie,true
espèce,species
doivent,must
allô,Hello
pareil,The same
vas-tu,are you going
soleil,sun
camp,camp
fallait,had to
coin,corner
ignore,ignore
moitié,half
you,you
selon,according to
tenir,to hold
grosse,fat
vouloir,to want
michael,Michael
vieille,old
devenu,became
continuer,continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,pretty
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,kills
laquelle,which
poser,to set down
chaud,hot
aimé,loved
david,David
fais-tu,do you do
tom,tom
professeur,teacher
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,shape
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,hazard
dangereux,dangerous
folle,crazy
jure,sworn
tiré,shot
essaye,try
bonnes,good
offre,offer
but,aim
froid,cold
allez-vous,are you going
prêts,loans
tranquille,calm
gamin,kid
joe,Joe
classe,class
joué,plays
poste,job
con,ass
mike,Mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,alive
ciel,sky
lu,read
touche,touch
aimer,to like
faites-vous,do you do
télé,TV
met,puts
écouter,listen
serez,will be
pourtant,Yet
change,change
triste,sad
droite,right
gueule,mouth
tombe,fall
sentir,feel
ouvrir,open
travers,across
santé,health
dossier,case
jeunes,young people
coucher,to sleep
cuisine,kitchen
